File name,Class,Number of faces,Number of vertices,Type of faces,Bounding box
m77,AquaticAnimal,23022,11578,[3],[0.025    0.975    0.025    0.407994 0.025    0.611203]
m78,AquaticAnimal,734,468,[3],[0.025    0.975    0.025    0.51665  0.025    0.428181]
m79,AquaticAnimal,226,166,[3],[0.025    0.975    0.025    0.256171 0.025    0.300958]
m80,AquaticAnimal,2104,1104,[3],[0.025    0.975    0.025    0.308883 0.025    0.416001]
m81,AquaticAnimal,1673,857,[3],[0.025  0.4145 0.025  0.291  0.025  0.975 ]
D00031,Bed,3590,1867,[3],[-0.669666  0.930426 -0.708463  0.726534 -0.267503  0.312193]
D00110,Bed,3644,1926,[3],[-0.8889    0.75223  -0.718484  0.524562 -0.220014  0.339705]
D00121,Bed,24612,15368,[3],[-0.912283  0.78579  -0.599669  0.858504 -0.482021  0.463209]
D00184,Bed,14204,7218,[3],[-0.937684  0.750002 -0.891329  0.664602 -0.466361  0.341943]
D00210,Bed,34247,22063,[3],[-0.667887  0.81694  -0.532688  0.866731 -0.412555  0.546372]
D00213,Bed,4536,2277,[3],[-0.955079  0.747501 -0.365319  0.50444  -0.375599  0.275625]
D00217,Bed,6272,3238,[3],[-0.842601  0.881592 -0.54509   0.411619 -0.3038    0.422549]
D00307,Bed,5259,2644,[3],[-0.820216  0.991699 -0.833938  0.872106 -0.213808  0.392634]
D00322,Bed,14796,9342,[3],[-0.94314   0.864001 -0.415536  0.599245 -0.520955  0.520602]
D00417,Bed,24736,12808,[3],[-0.799888  0.796046 -0.509407  0.668083 -0.374758  0.302302]
D00538,Bed,13868,7136,[3],[-0.838246  0.8386   -0.479658  0.702627 -0.325735  0.411787]
D00545,Bed,838,415,[3],[-0.832734  0.876784 -0.47967   0.747412 -0.39825   0.346334]
D00552,Bed,12251,6349,[3],[-1.05698   0.489625 -0.719045  0.71651  -0.464456  0.232915]
D00565,Bed,1628,826,[3],[-1.08588   0.602982 -0.605613  0.718594 -0.375019  0.180431]
D00650,Bed,7443,3752,[3],[-0.863733  0.833154 -0.550605  0.377532 -0.421559  0.282019]
D00735,Bed,684,453,[3],[-0.644923  1.11344  -0.684425  0.73777  -0.312594  0.476146]
D00836,Bed,3154,1563,[3],[-0.795864  0.919097 -0.365307  0.512459 -0.304602  0.597853]
D00839,Bed,32648,16364,[3],[-0.800648  0.864395 -0.877287  0.569772 -0.351917  0.290771]
D00969,Bed,23918,13151,[3],[-0.906979  0.798208 -0.928304  0.569391 -0.466867  0.379395]
D00988,Bed,624,768,[3],[-0.867888  0.815509 -0.726326  0.426407 -0.517681  0.208921]
m945,Bed,15659,8116,[3],[0.025    0.740004 0.025    0.813378 0.025    0.975   ]
m946,Bed,644,449,[3],[0.025    0.494149 0.025    0.494147 0.025    0.975   ]
m947,Bed,584,441,[3],[0.025    0.721994 0.025    0.445454 0.025    0.975   ]
m948,Bed,9038,4597,[3],[0.025    0.975    0.025    0.893382 0.025    0.961408]
m949,Bed,1388,706,[3],[0.025    0.956207 0.025    0.975    0.025    0.489954]
m950,Bed,724,437,[3],[0.025    0.769384 0.025    0.889227 0.025    0.975   ]
m951,Bed,572,363,[3],[0.025    0.797947 0.025    0.536752 0.025    0.975   ]
D00016,Bicycle,5049,2769,[3],[-0.914299  0.959955 -0.44062   0.818183 -0.209935  0.177847]
D00033,Bicycle,4448,2192,[3],[-1.0652    0.878724 -0.389308  0.704617 -0.281626  0.310015]
D00040,Bicycle,50650,25426,[3],[-0.94097   0.963824 -0.458162  0.744808 -0.31764   0.315601]
D00077,Bicycle,32265,16416,[3],[-0.846692  1.04491  -0.658064  0.486785 -0.363761  0.288974]
D00078,Bicycle,44740,22674,[3],[-1.01698   0.86983  -0.596377  0.758111 -0.365122  0.358418]
D00462,Bicycle,111471,56754,[3],[-0.981432  0.933426 -0.593991  0.611169 -0.276838  0.23777 ]
D00514,Bicycle,12939,6951,[3],[-1.00041   0.867701 -0.554131  0.697751 -0.218428  0.17829 ]
D00536,Bicycle,60488,30832,[3],[-0.885706  1.02261  -0.552034  0.679221 -0.459882  0.437129]
D00555,Bicycle,64544,34364,[3],[-0.953013  0.973589 -0.49476   0.757895 -0.333261  0.354566]
D00558,Bicycle,37661,19417,[3],[-1.01428   0.938784 -0.539415  0.584583 -0.283491  0.236967]
D00567,Bicycle,916,436,[3],[-0.923799  0.991099 -0.503743  0.689679 -0.288646  0.266948]
D00621,Bicycle,5049,2769,[3],[-0.914804  0.956869 -0.720661  0.549773 -0.212118  0.175426]
D00708,Bicycle,44110,22495,[3],[-0.993872  0.942018 -0.56247   0.649391 -0.307887  0.280766]
D00750,Bicycle,5484,3053,[3],[-0.811559  1.10338  -0.818838  0.736372 -0.167292  0.439656]
D00838,Bicycle,45925,23397,[3],[-0.942974  0.971944 -0.638045  0.560247 -0.298061  0.284249]
D00847,Bicycle,44707,22672,[3],[-0.932407  0.973915 -0.589276  0.732026 -0.361317  0.361906]
D00904,Bicycle,10548,5354,[3],[-0.959896  0.953013 -0.599316  0.637406 -0.196088  0.191298]
D00930,Bicycle,57224,29173,[3],[-0.738729  0.994006 -0.51995   0.852751 -0.3426    0.337158]
D00931,Bicycle,64230,32603,[3],[-0.920573  0.849829 -0.400919  0.684049 -0.432948  0.135958]
D00974,Bicycle,12065,6045,[3],[-0.843326  1.05063  -0.583879  0.550897 -0.210511  0.209059]
m1472,Bicycle,846,524,[3],[0.025    0.406458 0.025    0.566816 0.025    0.975   ]
m1473,Bicycle,4448,2192,[3],[0.025    0.975    0.025    0.557643 0.025    0.314071]
m1475,Bicycle,12065,6049,[3],[0.025    0.975    0.025    0.513449 0.025    0.232333]
m1476,Bicycle,916,436,[3],[0.025    0.299675 0.025    0.574723 0.025    0.975   ]
m1477,Bicycle,44727,22682,[3],[0.025    0.975    0.025    0.616046 0.025    0.376031]
m1478,Bicycle,5049,2769,[3],[0.025    0.975    0.025    0.611666 0.025    0.223576]
D00069,Biplane,6326,3242,[3],[-1.06342   0.905137 -0.446842  0.553446 -0.198847  0.199738]
D00132,Biplane,348,287,[3],[-0.948872  0.947322 -0.416782  0.85261  -0.129309  0.255501]
D00178,Biplane,8057,10942,[3],[-0.870457  0.487153 -0.469202  0.592445 -0.176893  0.125855]
D00199,Biplane,3764,2584,[3],[-1.01653   0.915606 -0.38886   1.07596  -0.234302  0.339116]
D00246,Biplane,9353,14082,[3],[-0.984595  0.998878 -0.395955  0.632082 -0.193048  0.139304]
D00276,Biplane,916,567,[3],[-1.08018   0.699036 -0.864861  0.766394 -0.468883  0.477538]
D00277,Biplane,41567,22427,[3],[-0.557817  0.804851 -1.05515   0.813411 -0.278621  0.268756]
D00320,Biplane,17476,9723,[3],[-0.990106  0.984606 -0.75142   0.427939 -0.152266  0.303238]
D00373,Biplane,12536,5941,[3],[-0.666583  0.863905 -0.96762   0.930583 -0.376918  0.245878]
D00410,Biplane,4254,2167,[3],[-1.1498    0.772427 -0.571534  0.608046 -0.231691  0.173266]
D00490,Biplane,46318,24998,[3],[-0.858495  0.970724 -0.555024  0.710541 -0.26707   0.214749]
D00515,Biplane,10522,5381,[3],[-0.890078  0.687934 -0.889517  0.863811 -0.31532   0.254273]
D00601,Biplane,36024,18086,[3],[-0.807461  0.820881 -0.49454   0.784118 -0.350623  0.447235]
D00616,Biplane,37102,20306,[3],[-1.03189   0.95107  -0.595964  0.339843 -0.192579  0.186078]
D00632,Biplane,1024,624,[3],[-0.845186  0.628879 -0.93675   0.935701 -0.236713  0.317531]
D00634,Biplane,77264,48973,[3],[-0.958046  0.976882 -0.738138  0.796668 -0.336325  0.259283]
D00666,Biplane,794,469,[3],[-1.22452   0.693364 -0.946743  0.962328 -0.266142  0.179309]
D00854,Biplane,37292,18966,[3],[-0.967073  0.454312 -0.953196  0.980111 -0.191033  0.354826]
D00890,Biplane,47490,45079,[3],[-0.889169  0.882175 -0.837059  0.766087 -0.259336  0.321112]
D00900,Biplane,49863,27750,[3],[-1.17911   0.805355 -0.897227  0.482773 -0.179258  0.275993]
m1118,Biplane,20408,10676,[3],[0.025    0.975    0.025    0.231623 0.025    0.526884]
m1119,Biplane,1550,863,[3],[0.025    0.975    0.025    0.379325 0.025    0.815271]
m1120,Biplane,129881,65722,[3],[0.025    0.975    0.025    0.370037 0.025    0.889139]
m1121,Biplane,1913,1062,[3],[0.025    0.792248 0.025    0.975    0.025    0.328749]
m1122,Biplane,11577,6704,[3],[0.025    0.93572  0.025    0.975    0.025    0.304519]
m1123,Biplane,1756,1015,[3],[0.025    0.697675 0.025    0.975    0.025    0.318427]
m1124,Biplane,572,390,[3],[0.025    0.633082 0.025    0.975    0.025    0.240746]
m1125,Biplane,656,434,[3],[0.025    0.799082 0.025    0.975    0.025    0.274375]
m1126,Biplane,1316,770,[3],[0.025    0.788134 0.025    0.975    0.025    0.236106]
m1127,Biplane,520,354,[3],[0.025    0.811053 0.025    0.975    0.025    0.219704]
m1128,Biplane,1232,718,[3],[0.025    0.975    0.025    0.967087 0.025    0.241951]
m1129,Biplane,6272,3351,[3],[0.025    0.975    0.025    0.346551 0.025    0.699508]
m1131,Biplane,768,482,[3],[0.025    0.705618 0.025    0.975    0.025    0.196732]
m1132,Biplane,1428,882,[3],[0.025    0.7227   0.025    0.975    0.025    0.209765]
m1133,Biplane,1024,624,[3],[0.025    0.769747 0.025    0.975    0.025    0.311217]
m1134,Biplane,512,338,[3],[0.025    0.542388 0.025    0.975    0.025    0.1732  ]
m1135,Biplane,360,264,[3],[0.025    0.545907 0.025    0.975    0.025    0.181047]
m1136,Biplane,1628,904,[3],[0.025    0.559108 0.025    0.975    0.025    0.233333]
m1137,Biplane,524,408,[3],[0.025    0.461983 0.025    0.975    0.025    0.199618]
m1138,Biplane,3586,2050,[3],[0.052495 0.975    0.025    0.907034 0.025    0.377887]
m1139,Biplane,4234,2920,[3],[0.025    0.647434 0.025    0.975    0.025    0.274384]
m1141,Biplane,23138,11819,[3],[0.025    0.975    0.025    0.310844 0.025    0.62003 ]
m1143,Biplane,6570,3336,[3],[0.025    0.504495 0.025    0.975    0.025    0.209713]
m1144,Biplane,6736,3627,[3],[0.025    0.975    0.025    0.716901 0.025    0.291304]
m1146,Biplane,3016,1700,[3],[0.025   0.88836 0.025   0.32216 0.025   0.975  ]
D00089,Bird,462,233,[3],[-1.16401   0.785119 -0.562623  0.507858 -0.314817  0.154772]
D00113,Bird,31702,15871,[3],[-0.989781  0.729676 -0.565778  0.957181 -0.557952  0.602622]
D00164,Bird,16135,8188,[3],[-0.692378  1.18953  -0.498351  0.598524 -0.400888  0.105716]
D00234,Bird,2468,1247,[3],[-0.928219  0.947521 -0.966801  0.625768 -0.185647  0.258145]
D00271,Bird,24753,12813,[3],[-1.17434   0.735516 -0.67701   0.633247 -0.192772  0.20922 ]
D00284,Bird,26516,13253,[3],[-1.17688   0.723095 -0.422644  0.608828 -0.266977  0.202101]
D00323,Bird,364,260,[3],[-0.777682  1.19869  -0.188336  0.343315 -0.049014  0.043661]
D00386,Bird,3498,1751,[3],[-1.057619  0.810894 -0.286252  0.353767 -0.132731  0.073903]
D00438,Bird,3709,1824,[3],[-1.18694   0.786275 -0.545674  0.371307 -0.194944  0.064915]
D00442,Bird,17119,9745,[3],[-0.874312  0.911395 -0.617021  0.504857 -0.37487   0.525607]
D00546,Bird,2012,1162,[3],[-1.23614   0.715362 -0.288082  0.408477 -0.248996  0.150496]
D00599,Bird,3626,1792,[3],[-1.20739   0.749861 -0.452237  0.290011 -0.05299   0.157614]
D00625,Bird,1398,1091,[3],[-0.757887  1.149855 -0.803401  0.63741  -0.705727  0.286246]
D00689,Bird,5388,2683,[3],[-1.17894   0.767141 -0.377306  0.24427  -0.199     0.340818]
D00736,Bird,7898,3947,[3],[-1.17942   0.798489 -0.462894  0.49027  -0.198137  0.084683]
D00762,Bird,1896,950,[3],[-1.0453    0.749594 -0.723664  0.858881 -0.387123  0.264739]
D00862,Bird,1507,757,[3],[-0.750402  1.22133  -0.536856  0.40871  -0.406756  0.099096]
D00922,Bird,1794,903,[3],[-0.724867  1.03105  -0.536531  0.78013  -0.391794  0.503437]
D00961,Bird,2734,1344,[3],[-1.190131  0.793    -0.684328  0.444631 -0.061147  0.192211]
D00999,Bird,744,373,[3],[-1.23089   0.765237 -0.317419  0.37941  -0.093164  0.178191]
m28,Bird,11660,6076,[3],[0.025    0.468681 0.025    0.578224 0.025    0.975   ]
m29,Bird,5878,2972,[3],[0.025    0.346738 0.025    0.914682 0.025    0.975   ]
m30,Bird,800,390,[3],[0.025    0.35945  0.025    0.524749 0.025    0.975   ]
m31,Bird,3548,1802,[3],[0.025    0.500847 0.025    0.975    0.025    0.514588]
m32,Bird,2246,1129,[3],[0.025    0.382772 0.025    0.658333 0.025    0.975   ]
m33,Bird,6164,3144,[3],[0.025    0.541498 0.025    0.692456 0.025    0.975   ]
m34,Bird,462,233,[3],[0.025    0.975    0.025    0.257154 0.025    0.544293]
m35,Bird,1394,699,[3],[0.025    0.792373 0.025    0.63608  0.025    0.975   ]
m36,Bird,2503,1289,[3],[0.025    0.944541 0.025    0.808922 0.025    0.975   ]
m37,Bird,1130,567,[3],[0.025    0.975    0.025    0.437258 0.025    0.746203]
m38,Bird,928,464,[3],[0.025    0.975    0.025    0.260681 0.025    0.292609]
m39,Bird,1156,649,[3],[0.025    0.883574 0.025    0.975    0.025    0.259557]
m40,Bird,5390,2684,[3],[0.025    0.975    0.025    0.284845 0.025    0.347879]
m41,Bird,3709,1824,[3],[0.025    0.975    0.025    0.147249 0.025    0.467716]
m42,Bird,265,116,[3],[0.025    0.975    0.025    0.210109 0.025    0.497043]
m43,Bird,54,41,[3],[0.025    0.927106 0.025    0.606166 0.025    0.975   ]
m44,Bird,798,401,[3],[0.025    0.975    0.025    0.458833 0.025    0.2663  ]
m45,Bird,33072,16542,[3],[0.025    0.975    0.025    0.290348 0.025    0.486435]
m47,Bird,165,101,[3],[0.025    0.695803 0.025    0.148154 0.025    0.975   ]
m48,Bird,824,427,[3],[0.025    0.488025 0.025    0.456093 0.025    0.975   ]
m49,Bird,4364,2329,[3],[0.025    0.975    0.025    0.800992 0.025    0.691101]
m50,Bird,182,93,[3],[0.025    0.406048 0.025    0.564283 0.025    0.975   ]
m51,Bird,598,309,[3],[0.025    0.975    0.025    0.479684 0.025    0.551688]
m52,Bird,560,294,[3],[0.025    0.975    0.025    0.620667 0.025    0.909953]
D01009,Bookset,3156,444,[3],[0.   0.42 0.   0.26 0.   0.27]
D01013,Bookset,816,320,[3],[-0.050712  0.215194  0.207686  0.665613  0.        0.2798  ]
D01030,Bookset,1152,208,[3],[ 0.        0.421721 -0.        0.306934 -0.        0.347472]
D01038,Bookset,14844,2208,[3],[4.969709 5.194114 3.424974 4.391839 0.37465  0.73787 ]
D01042,Bookset,2373,668,[3],[-1.910849 -1.673169  0.678389  0.885973 -0.056548  0.221452]
D01050,Bookset,780,140,[3],[0.       0.275274 0.       0.28956  0.       0.318973]
D01065,Bookset,918,360,[3],"[ 3.387116e+00  3.888541e+00  4.483350e-01  7.142410e-01 -4.000000e-04
  2.794000e-01]"
D01078,Bookset,6861,1203,[3],[0.273999 0.580868 0.229734 0.350384 0.       0.17145 ]
D01096,Bookset,2544,624,[3],[0.       0.534848 0.       0.29726  0.       0.300496]
D01108,Bookset,9798,1628,[3],[0.172598 0.333604 0.055124 0.453997 1.616453 1.889558]
D01109,Bookset,6861,1203,[3],[0.       0.21717  0.       0.306869 0.       0.269177]
D01110,Bookset,936,166,[3],[0.       0.268736 0.       0.28956  0.       0.347472]
D01122,Bookset,624,110,[3],[ 0.        0.198004 -0.020638  0.105497  0.        0.145403]
D01135,Bookset,10185,1645,[3],"[-3.2108300e-01  1.0181497e+01 -2.1540400e-01  4.3812660e+00
 -9.3470000e-03  5.0362560e+00]"
D01146,Bookset,7149,2694,[3],[2.10781  2.82142  2.01541  2.3333   0.       0.318973]
D01182,Bookset,1020,188,[3],[-0.108086  0.072563  0.013947  0.246285  0.        0.24173 ]
D01183,Bookset,3231,891,[3],"[ 1.038993e+00  2.955486e+00 -2.165930e-01  9.656780e-01 -8.100000e-05
  1.732709e+00]"
D01184,Bookset,1557,247,[3],[-0.        0.191003  0.        0.230709  0.        0.326618]
D01190,Bookset,14484,2417,[3],"[-1.300000e-05  1.644250e-01 -2.411233e+00 -1.676628e+00  4.123300e-02
  3.163750e-01]"
D01199,Bookset,1524,240,[3],[ 0.       13.521808  0.        7.627565 -0.233235  7.392814]
D00020,Bottle,1710,971,[3],[-0.790026  0.882518 -0.214855  0.221754 -0.229202  0.192811]
D00123,Bottle,2044,1067,[3],[-0.785998  0.781472 -0.272641  0.122641 -0.188644  0.175108]
D00139,Bottle,4860,2452,[3],[-0.918061  0.728216 -0.211906  0.193114 -0.194712  0.203996]
D00166,Bottle,45936,23142,[3],[-0.815243  0.919484 -0.387408  0.446434 -0.272684  0.283991]
D00176,Bottle,14272,7138,[3],[-0.718902  0.987358 -0.22924   0.32021  -0.268809  0.262583]
D00208,Bottle,3640,2000,[3],[-0.951203  0.75863  -0.268748  0.267936 -0.243702  0.250368]
D00281,Bottle,1764,1304,[3],[-0.803887  0.904402 -0.328824  0.192929 -0.284716  0.233906]
D00311,Bottle,1448,829,[3],[-0.831219  0.878387 -0.338461  0.349036 -0.336791  0.344165]
D00347,Bottle,4438,2426,[3],[-1.01519   0.565986 -0.171     0.262845 -0.213249  0.218416]
D00350,Bottle,921,569,[3],[-0.894669  0.867081 -0.219912  0.226588 -0.214901  0.262761]
D00390,Bottle,2742,1499,[3],[-0.598016  0.998903 -0.500791  0.328432 -0.411989  0.406055]
D00451,Bottle,18236,11448,[3],[-0.608839  0.952938 -0.461541  0.284476 -0.356345  0.333426]
D00679,Bottle,23052,12640,[3],[-0.906925  0.809482 -0.229951  0.305606 -0.271177  0.25847 ]
D00696,Bottle,25850,13754,[3],[-1.0443    0.652995 -0.155084  0.302059 -0.20046   0.209835]
D00711,Bottle,336,192,[3],[-0.859195  1.04485  -0.381496  0.461388 -0.401455  0.427899]
D00716,Bottle,856,446,[3],[-0.881118  0.954585 -0.445327  0.519924 -0.163849  0.155909]
D00726,Bottle,18390,10163,[3],[-1.36136   0.600657 -0.332344  0.276589 -0.318716  0.290957]
D00892,Bottle,4940,2474,[3],[-0.674448  1.01623  -0.151915  0.287525 -0.214476  0.213408]
D00940,Bottle,1242,737,[3],[-1.07424   0.731591 -0.303107  0.475795 -0.398902  0.372505]
D00959,Bottle,892,479,[3],[-0.808843  0.69574  -0.275198  0.10899  -0.198302  0.186067]
m482,Bottle,950,542,[3],[0.025    0.289643 0.025    0.975    0.025    0.292987]
m483,Bottle,620,371,[3],[0.025    0.261391 0.025    0.975    0.025    0.261391]
m484,Bottle,888,460,[3],[0.025    0.288882 0.025    0.975    0.025    0.28906 ]
m485,Bottle,936,526,[3],[0.025    0.289643 0.025    0.975    0.025    0.289643]
m486,Bottle,3894,2101,[3],[0.025    0.301499 0.025    0.975    0.025    0.302639]
m487,Bottle,290,133,[3],[0.025    0.313404 0.025    0.975    0.025    0.313404]
m488,Bottle,284,144,[3],[0.025    0.975    0.025    0.375332 0.025    0.375214]
m489,Bottle,1055,558,[3],[0.025    0.343244 0.025    0.975    0.025    0.328845]
m490,Bottle,1075,574,[3],[0.025    0.363345 0.025    0.975    0.025    0.363345]
m491,Bottle,997,544,[3],[0.025    0.549945 0.025    0.975    0.025    0.465025]
m492,Bottle,724,360,[3],[0.025    0.295008 0.025    0.295005 0.025    0.975   ]
m382,BuildingNonResidential,400,252,[3],[0.025    0.944817 0.025    0.670641 0.025    0.975   ]
m383,BuildingNonResidential,4460,2328,[3],[0.025    0.63328  0.025    0.975    0.025    0.588135]
m384,BuildingNonResidential,4686,2984,[3],[0.025    0.975    0.025    0.289902 0.025    0.871086]
m385,BuildingNonResidential,918,674,[3],[0.025    0.899    0.025    0.975    0.025    0.626562]
m386,BuildingNonResidential,1008,532,[3],[0.025    0.950794 0.025    0.975    0.025    0.940744]
m387,BuildingNonResidential,1668,844,[3],[0.025    0.975    0.025    0.422906 0.025    0.920334]
m389,BuildingNonResidential,5100,2509,[3],[0.025    0.74158  0.025    0.975    0.025    0.650205]
m390,BuildingNonResidential,45,40,[3],[0.025    0.846817 0.032235 0.752337 0.025    0.952219]
m391,BuildingNonResidential,274,246,[3],[0.025    0.608136 0.025    0.804944 0.025    0.975   ]
m392,BuildingNonResidential,80,33,[3],[0.025    0.816667 0.025    0.975    0.025    0.341667]
m393,BuildingNonResidential,326,241,[3],[0.025    0.975    0.025    0.635937 0.025    0.847742]
m394,BuildingNonResidential,1246,750,[3],[0.025    0.898423 0.025    0.975    0.025    0.898642]
m395,BuildingNonResidential,696,630,[3],[0.025    0.928504 0.025    0.973995 0.025    0.975   ]
m396,BuildingNonResidential,470,445,[3],[0.025    0.949627 0.025    0.975    0.025    0.825751]
m397,BuildingNonResidential,2680,1362,[3],[0.025    0.975    0.025    0.927504 0.025    0.974999]
m398,BuildingNonResidential,936,498,[3],[0.025    0.870248 0.025    0.642704 0.025    0.975   ]
m399,BuildingNonResidential,13536,7530,[3],[0.025    0.975    0.025    0.607391 0.025    0.971631]
m400,BuildingNonResidential,840,488,[3],[0.025    0.778448 0.025    0.788603 0.025    0.975   ]
